CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random,split
C6877,0,47,M,287489.04,SAL,46-50,324,28,SA,10-11-2008,104,8,2,10,0,1,1,0,0,0,6600,0,0,799813.0,0,806413.0,1,0,0,0,0,6600.0,0.0,0.0,799813.0,0.0,1,0,0.00011137299999999999,-0.07990642958479652
C8183,0,53,M,71720.48,SAL,>50,196,13,CA,07-04-2008,107,36,14,50,4,2,3,1,4,0,26100,673590,60780,741506.0,71388,1573364.0,0,0,0,0,0,13050.0,168397.5,15195.0,247168.67,71388.0,1,0,0.000136825,0.1469907221584788
C12123,0,36,M,1671622.89,PROF,36-40,167,24,SA,12/29/2001,185,20,1,21,1,0,0,0,0,0,0,808480,0,0.0,0,808480.0,0,0,0,0,0,0.0,808480.0,0.0,0.0,0.0,1,0,0.00017397599999999998,-0.15598660938769185
C8300,0,30,M,204458.6,PROF,26-30,479,14,SA,8/25/2002,177,6,6,12,0,1,1,0,4,0,6200,0,10580,770065.0,0,786845.0,1,0,0,0,0,6200.0,0.0,2645.0,770065.0,0.0,0,1,0.000499109,-0.19515812649292244
C5999,0,53,F,58516.34,SAL,>50,562,25,CA,3/15/2009,99,14,3,17,3,0,0,0,0,0,0,945160,0,0.0,0,945160.0,0,0,0,0,0,0.0,315053.33,0.0,0.0,0.0,1,1,0.000501983,-1.2584796782689964
C18187,0,52,M,13683.16,SELF-EMP,>50,395,7,SA,1/26/2004,160,7,5,12,1,1,1,0,2,0,11300,632710,13080,381666.0,0,1038756.0,0,0,0,0,0,11300.0,632710.0,6540.0,381666.0,0.0,1,1,0.000613143,-0.20589830652050176
C2030,0,43,M,272607.05,PROF,41-45,164,24,CA,03-06-2002,183,4,4,8,2,1,0,1,0,1,8900,362780,0,0.0,171334,543014.0,0,0,0,0,0,8900.0,181390.0,0.0,0.0,171334.0,1,0,0.0006289690000000001,0.7296836174505119
C14530,0,43,F,66013.8,SENP,41-45,912,3,SA,9/30/2000,200,4,3,7,2,0,0,0,1,1,0,660120,0,0.0,0,660120.0,0,0,0,0,0,0.0,330060.0,0.0,0.0,0.0,1,1,0.00072272,0.3000291365767403
C15395,1,30,M,25481.82,SELF-EMP,26-30,499,9,SA,4/16/2011,74,1,1,2,0,0,0,0,1,0,0,0,77670,0.0,0,77670.0,0,0,0,0,0,0.0,0.0,77670.0,0.0,0.0,1,0,0.000753211,1.0796767516435637
C2948,0,35,M,18939.94,SAL,31-35,280,26,SA,12-06-2013,42,5,4,9,2,0,2,0,0,1,0,685160,0,455802.0,0,1140962.0,0,0,0,0,0,0.0,342580.0,0.0,227901.0,0.0,1,0,0.0008425310000000001,0.9069085188021332
C3975,0,47,F,1136890.47,SENP,46-50,723,11,SA,9/25/2006,128,9,5,14,2,1,1,0,1,1,2700,864840,0,943000.0,0,1810540.0,0,0,0,0,0,2700.0,432420.0,0.0,943000.0,0.0,1,1,0.000858209,1.0774459671805183
C16022,0,36,M,233344.83,SAL,36-40,597,4,SA,12-07-2014,30,18,14,32,3,2,4,1,4,0,11700,816290,341900,396774.0,2141,1568805.0,1,0,0,0,1,5850.0,272096.67,85475.0,99193.5,2141.0,1,0,0.000903809,-0.11220695657766191
C3692,0,41,M,435841.81,PROF,41-45,565,14,SA,03-02-2004,159,16,15,31,5,2,3,1,4,0,31300,723400,46350,537413.0,198996,1537459.0,0,0,0,0,0,15650.0,144680.0,11587.5,179137.67,198996.0,1,1,0.000954972,0.49551836526214815
C19889,0,37,M,547116.54,PROF,36-40,236,7,SA,05-10-2007,121,8,6,14,1,1,0,0,4,0,9100,66570,25960,0.0,0,101630.0,0,0,0,0,0,9100.0,66570.0,6490.0,0.0,0.0,1,0,0.001057475,-0.7472899533289403
C7296,0,37,F,35350.88,SAL,36-40,330,26,SA,11/16/2008,103,5,1,6,1,0,0,0,0,0,0,621600,0,0.0,0,621600.0,0,0,0,0,0,0.0,621600.0,0.0,0.0,0.0,1,0,0.0011085889999999999,-0.25280388829187805
C14937,0,39,M,59282.02,SENP,36-40,281,6,SA,3/19/2007,122,6,5,11,2,1,1,0,1,0,7400,989280,0,111936.0,0,1108616.0,0,0,0,0,0,7400.0,494640.0,0.0,111936.0,0.0,1,0,0.001161803,0.9382993802360007
C7464,0,39,F,1743832.48,SENP,36-40,202,18,CA,9/15/2007,117,9,9,18,3,1,0,1,4,0,7900,437620,15200,0.0,177483,638203.0,1,0,0,0,0,7900.0,145873.33,3800.0,0.0,177483.0,1,0,0.001186218,0.3998829685568722
C9713,0,52,M,1002330.71,SAL,>50,155,11,CA,09-04-1999,213,58,23,81,2,3,7,1,10,0,62300,625570,865910,41285.0,65064,1660129.0,0,0,0,0,0,20766.67,312785.0,86591.0,5897.86,65064.0,1,1,0.001200289,0.3510357929223014
C10749,0,38,F,161366.04,PROF,36-40,128,23,SA,08-08-1999,214,8,2,10,1,0,0,0,1,1,0,222040,33810,0.0,0,255850.0,0,0,0,0,0,0.0,222040.0,33810.0,0.0,0.0,0,0,0.001245236,-0.7751053236476371
C4948,0,27,F,2532663.66,SENP,26-30,171,13,SA,1/19/2010,88,4,3,7,0,0,0,0,3,0,0,0,94560,0.0,0,94560.0,0,0,0,0,0,0.0,0.0,31520.0,0.0,0.0,1,0,0.001309697,0.6303765916353632
C7814,0,45,M,1097597.16,SENP,41-45,765,16,SA,10/16/2000,200,8,5,13,1,1,1,0,2,0,2500,358350,58740,116717.0,0,536307.0,0,0,0,0,0,2500.0,358350.0,29370.0,116717.0,0.0,1,1,0.00137796,-0.6262303941418853
C6619,0,31,M,22259.73,SENP,31-35,476,25,SA,11-07-2004,151,4,1,5,1,0,0,0,0,0,0,254670,0,0.0,0,254670.0,0,0,0,0,0,0.0,254670.0,0.0,0.0,0.0,0,0,0.001480213,-0.7700649323286091
