CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random,split
C7927,0,27,M,3383.75,SELF-EMP,26-30,776,30,SA,3/23/2005,146,7,3,10,0,1,2,0,0,0,13100,0,0,973557.0,0,986657.0,0,0,0,0,0,13100.0,0.0,0.0,486778.5,0.0,1,1,1.1400000000000001e-05,-0.41383880207355206
C19922,0,40,M,18216.88,SELF-EMP,36-40,603,2,SA,4/26/2012,61,10,5,15,1,1,1,0,2,0,11200,561120,49320,997570.0,0,1619210.0,1,0,0,0,1,11200.0,561120.0,24660.0,997570.0,0.0,1,1,0.000119954,0.9064321990204307
C257,0,42,F,521685.69,PROF,41-45,493,26,SA,06-07-2001,192,5,2,7,1,1,0,0,0,1,18500,379310,0,0.0,0,397810.0,0,0,0,0,0,18500.0,379310.0,0.0,0.0,0.0,1,1,0.00040584,-1.4398201119596543
C5692,0,42,F,13158.14,SELF-EMP,41-45,105,15,SA,02-08-2010,88,18,14,32,6,2,4,1,1,1,35400,198430,51490,326421.0,170332,782073.0,0,0,0,0,0,17700.0,33071.67,51490.0,81605.25,170332.0,1,1,0.000522769,0.1311251674778334
C3241,0,30,M,831150.18,PROF,26-30,170,13,SA,03-02-2008,111,14,8,22,3,1,0,0,4,0,18000,869880,32610,0.0,0,920490.0,0,0,0,0,0,18000.0,289960.0,8152.5,0.0,0.0,0,0,0.000570937,-1.1564126422573096
C3237,0,53,M,124500.74,SENP,>50,239,20,SA,08-06-2005,142,5,4,9,1,0,0,0,3,1,0,270160,18290,0.0,0,288450.0,0,0,0,0,1,0.0,270160.0,6096.67,0.0,0.0,1,1,0.00064842,2.7280192023613865
C19185,0,46,M,1563443.12,SAL,46-50,525,9,SA,12/15/2000,198,14,6,20,2,1,1,0,2,1,5500,546350,17390,14201.0,0,583441.0,0,0,0,0,0,5500.0,273175.0,8695.0,14201.0,0.0,1,1,0.0007563380000000001,-1.6685821754600008
C1097,0,41,F,65208.82,SENP,41-45,472,21,SA,07-02-2008,107,6,3,9,2,0,1,0,0,1,0,476530,0,407286.0,0,883816.0,0,0,0,0,0,0.0,238265.0,0.0,407286.0,0.0,1,0,0.0007848810000000001,0.0489523501791122
C3734,0,32,M,830319.46,PROF,31-35,499,18,SA,9/21/2000,200,16,15,31,0,2,4,1,8,0,44100,0,844830,510764.0,52825,1452519.0,0,0,0,0,0,22050.0,0.0,105603.75,127691.0,52825.0,1,1,0.00087447,0.3220832465405016
C18572,0,45,M,10762.54,SENP,41-45,199,5,SA,01-12-2002,185,12,6,18,2,1,1,0,2,1,19200,615490,36780,66048.0,0,737518.0,0,0,0,0,0,19200.0,307745.0,18390.0,66048.0,0.0,1,1,0.001022463,0.1078335447313948
